user_id,age,gender,occupation,feedback_text,feedback_timestamp,menu_item,meal_time,previous_feedbacks,interaction_count
50,25,Male,Student,I didn’t like the texture of the meal.,2024-09-09 14:48:16,Mixed Vegetable,Morning,[0.5998910463239646],9
51,29,Male,Student,The staff was attentive and friendly.,2024-04-02 08:07:17,Paneer Butter Masala,Afternoon,[0.5892441092956018],8
52,19,Male,Student,The food was served at the right temperature.,2023-08-02 05:23:01,Chicken Biryani,Evening,"[0.8810801457907862, 0.10172706541849452, 0.9433053078786833, -0.5666170425208987, 0.8523030842368382]",5
53,20,Female,Student,The food quality was excellent!,2024-04-12 20:09:05,Pasta,Evening,"[0.3054231428262719, -0.4746946253528206, 0.13163120524854732]",3
54,27,Female,Student,The portions were generous.,2024-06-10 04:25:40,Mixed Vegetable,Afternoon,"[-0.08989760842101502, -0.2815610390116916, 0.7057448992166631, -0.5229956768237098]",4
55,27,Male,Student,The meal was missing a key ingredient.,2023-12-20 17:09:13,Garlic Bread,Evening,"[-0.3893371698504515, 0.725034296233176]",9
56,18,Female,Student,The food was lukewarm and soggy.,2024-01-22 11:35:12,Ice Cream,Afternoon,"[0.7636363478687385, -0.67961337995604, -0.26843688079841543, -0.102489768107622]",1
57,28,Male,Student,I found the meal to be very satisfying.,2023-11-27 07:16:41,Pav Bhaji,Evening,[-0.23656262355102697],4
58,25,Male,Student,I didn’t enjoy the quality.,2023-10-12 18:06:25,Ice Cream,Morning,"[-0.03934338187460873, 0.9167818619734898, -0.7640082974551479]",5
59,20,Male,Student,I appreciated the variety of healthy options.,2023-12-10 07:02:47,Mushroom Soup,Afternoon,[-0.17945391220473028],5
60,28,Male,Student,The service was not enough slow.,2024-02-12 00:09:53,Manchurian,Morning,"[-0.4302590666561201, -0.34734963359559634, 0.8146318295748749, 0.06843330555720017]",3
61,23,Male,Student,I didn’t enjoy the temperature of the food.,2023-12-14 14:35:56,Pav Bhaji,Morning,"[0.2461124224667608, -0.28664583074359196, 0.366900683694501, 0.4580721525743734]",8
62,23,Male,Student,The food tasted fresh and well-prepared.,2024-07-15 18:50:39,egg,Morning,"[0.8306066388700135, -0.46569627058835694]",2
63,26,Male,Student,I loved the overall dining experience.,2023-10-12 17:52:26,Chicken Biryani,Morning,"[-0.3051424714967539, -0.009500157809683607, 0.7119314680622637, -0.9906352506363998, -0.6546339334537445]",3
64,27,Male,Student,The overall experience was satisfying.,2023-05-23 10:53:00,Fish Curry,Evening,[-0.36917217821896076],9
65,18,Male,Student,The flavors were bold and exciting.,2023-03-16 08:23:33,bonda,Afternoon,"[-0.0890555114729299, -0.2776624463958277]",3
66,28,Female,Student,I didn’t enjoy the quality.,2023-12-14 14:48:33,Egg Curry,Morning,"[-0.4190962571519177, 0.39883854339246083]",2
67,21,Male,Student,The staff was attentive and friendly.,2024-06-18 07:46:16,uggani,Evening,"[0.8506865441568952, -0.06127318077728172, -0.5922523304157818, -0.10522947398214089]",5
68,18,Male,Student,"Amazing flavors, I loved the taste.",2023-03-04 20:15:23,uggani,Evening,"[-0.46650123536447574, 0.9286507662780843]",6
69,26,Male,Student,The food was served at the right temperature.,2024-04-22 14:30:20,Gulab Jamun,Evening,"[0.6367851595677496, -0.3386853441399451, 0.17043510440007936]",4
70,24,Male,Student,The food was served at the right temperature.,2024-06-04 08:08:24,Egg Curry,Afternoon,"[-0.13458404531949464, 0.020137475011811512, -0.4153060620525082]",5
71,18,Female,Student,The service was not enough slow.,2023-01-20 15:52:09,Egg Curry,Evening,"[0.9469173383628233, -0.34977398937191717, -0.4098533585345625]",5
72,21,Male,Student,The flavors were bold and exciting.,2024-02-13 16:49:51,Mutton Curry,Evening,"[0.7639229517937376, -0.986370382995416, 0.3489478869306517]",8
73,18,Male,Student,I loved the overall dining experience.,2024-06-27 02:32:11,Uttapam,Morning,"[-0.9188735509495918, -0.3476351419095969, 0.5534757880888437, 0.28594313556008655]",9
74,18,Male,Student,The meal was missing a key ingredient.,2023-05-02 03:43:45,Ice Cream,Morning,"[0.6603806002049837, -0.3598713425076112, 0.6345332256319896]",4
75,18,Female,Student,The overall experience was satisfying.,2024-03-19 02:10:57,Vada,Afternoon,"[0.1797430410781522, -0.7880334040623995, -0.7717299686052528, 0.9649924193714658, -0.03987623097685389]",1
76,25,Male,Student,The food was served at the right temperature.,2023-02-02 12:11:38,Masala Dosa,Afternoon,"[0.5879755908882598, -0.8431671256088276, -0.37975927455202485, -0.7068040152433739, -0.8548624799089968]",9
77,24,Female,Student,I didn’t enjoy the temperature of the food.,2023-08-30 20:09:08,Mushroom Soup,Morning,"[0.31853060550290335, -0.583524823583371]",2
78,18,Female,Student,The service was not enough slow.,2024-02-09 13:53:59,Veg Curry,Evening,"[-0.39785469429337783, 0.8445804701141306, 0.06040546282787296, 0.5718643340871596, -0.014527414838442443]",1
79,22,Female,Student,The portions were just right.,2024-05-10 14:23:27,egg,Afternoon,"[-0.63072720427787, -0.9300833058208666, 0.39565278003560866]",6
80,24,Male,Student,The staff was attentive and friendly.,2023-10-11 00:48:54,egg,Afternoon,"[0.6415742259912707, -0.7743811980641773]",6
81,22,Female,Student,The quality of the ingredients was outstanding.,2023-09-26 12:06:09,Uttapam,Evening,"[-0.28917026253765243, 0.5278251100884732, -0.944862967619124]",3
82,18,Male,Student,The preparation was well done.,2024-05-18 22:10:49,Samosa,Morning,"[0.956127563191759, -0.351437538332632]",8
83,18,Female,Student,"Amazing flavors, I loved the taste.",2024-08-26 17:30:11,Masala Dosa,Evening,"[0.6785477511132658, -0.41461200713108814, -0.6219482672875201, 0.34255743024989305]",6
84,27,Female,Student,The portions were generous.,2023-10-17 03:55:11,Masala Dosa,Afternoon,[-0.35306645844895157],6
85,26,Male,Student,I found the service to be lacking.,2023-01-07 03:26:47,Egg Curry,Evening,[0.9904857710591741],8
86,20,Female,Student,The portions were generous.,2023-08-02 15:18:50,Veg Curry,Evening,"[0.3678826508198456, 0.5208753941122157]",7
87,26,Male,Student,The overall quality was inconsistent.,2023-08-06 07:00:12,Caesar Salad,Afternoon,"[-0.8613363372834595, -0.8969514829633742, -0.08428475446264705]",1
88,29,Female,Student,The flavors were not what I expected.,2024-06-03 05:33:18,Fish Curry,Afternoon,"[0.9305354059375719, 0.2297686862342576, -0.6585637361352432]",3
89,22,Female,Student,The meal was not enough dry for my liking.,2023-05-05 07:17:48,Fried Rice,Morning,"[-0.08500187642854673, -0.2806896880206997, 0.141813339220193]",3
90,22,Female,Student,The overall quality was inconsistent.,2024-01-26 06:15:17,Samosa,Afternoon,"[0.32794414589393206, 0.2799365777201157, 0.1278497260592717]",8
91,25,Female,Student,The service was exceptional.,2023-06-07 18:29:09,Pav Bhaji,Morning,[-0.2988014234594094],2
92,25,Male,Student,The service was not enough slow.,2024-06-11 22:44:41,Ice Cream,Afternoon,[-0.9307576294932602],4
93,20,Female,Student,The quality of the food was impressive.,2024-01-14 06:47:19,bonda,Morning,"[-0.5389901184312982, -0.257770352246913, -0.7536210015000357, 0.23328322642587884, 0.6089630949677036]",6
94,20,Male,Student,The temperature of the food was perfect.,2023-06-15 17:54:40,Kofta Curry,Evening,"[0.33039674184016965, 0.6559477670410923]",7
95,20,Female,Student,The overall meal didn’t meet my expectations.,2023-09-15 09:09:08,Chicken Biryani,Morning,[-0.6452509086288405],2
96,24,Female,Student,The overall dining experience was excellent.,2024-05-19 09:57:41,egg,Evening,"[-0.1359077340785746, 0.4845881814267057, 0.01328472066235653, -0.6862916658417448, -0.6816901304565557]",3
97,24,Male,Student,I appreciated the variety of healthy options.,2024-01-22 18:10:27,Mushroom Soup,Morning,"[-0.7157952991354719, -0.5939866071642039, 0.4149450859189776, -0.49403378895050243]",8
98,19,Male,Student,I didn’t enjoy the temperature of the food.,2024-08-24 11:46:41,Gulab Jamun,Morning,"[-0.028885232998909993, -0.41546660140526503, -0.6472812761614799, 0.2116371881865291]",7
99,25,Female,Student,I didn’t enjoy the quality.,2024-04-02 10:05:07,Mutton Curry,Morning,"[0.7271290595611895, 0.5626679763813855, -0.3589066592296184, -0.3366396385367325]",4
100,22,Female,Student,The overall quality was inconsistent.,2024-09-11 21:15:34,Roti,Morning,"[0.3614564637981248, -0.9579842512828991]",8
101,18,Male,Student,I didn’t like the texture of the meal.,2023-01-05 06:26:22,Chole Bhature,Afternoon,[-0.7312369204282116],5
102,19,Female,Student,I enjoyed the attentive service.,2023-01-23 03:36:36,Manchurian,Morning,"[-0.09376696740478363, 0.9409176474032124, -0.5790243001802406]",8
103,24,Male,Student,The food was served at the right temperature.,2023-06-15 11:02:41,Manchurian,Morning,"[0.9850487518238831, -0.9000268105496165, -0.07077558065783851]",3
104,18,Male,Student,The staff was attentive and friendly.,2024-02-28 13:58:03,Ice Cream,Evening,"[-0.6461247904702612, 0.39027004901828843, -0.980249852465312]",6
105,28,Male,Student,The food was served at the right temperature.,2023-05-08 01:23:17,Gulab Jamun,Afternoon,"[-0.6833845637207747, 0.8622489432988407, -0.5397254513205727]",5
106,25,Male,Student,I think the meal could use more seasoning.,2023-04-30 19:25:46,Vada,Evening,[0.4580260129957614],9
107,28,Female,Student,The food was served too cold.,2024-09-17 18:27:35,bonda,Morning,"[-0.5183572847135614, -0.4047524829040201, -0.9707538436626293, -0.23478935132374246]",3
108,28,Female,Student,I would recommend this place for its service.,2024-03-11 10:18:57,Chicken,Evening,"[0.45934433544621633, 0.4405349552384943, 0.6965332215572109, -0.05669970665915014]",6
109,19,Female,Student,The quality of the ingredients was outstanding.,2024-07-26 22:15:25,Kofta Curry,Morning,"[-0.12644652436619852, 0.10356397233531345]",6
110,28,Female,Student,The meal was not enough dry for my liking.,2024-07-27 13:54:09,Masala Dosa,Afternoon,"[0.7629708079487898, -0.011969814685366842, 0.3946292060315735, 0.9433666237049534]",8
111,21,Male,Student,The meal was not enough salty.,2024-08-29 19:12:18,Veg Biryani,Afternoon,"[-0.307662524827381, 0.5701210488517325, 0.10699332502128667, -0.8030217523857941, 0.5656171831451056]",3
112,19,Male,Student,The staff provided excellent service.,2023-07-27 15:33:28,Rasmalai,Evening,"[0.15531896587708793, 0.559586224616224, -0.000265757894414298, -0.6887787821451039, 0.4401904166857711]",1
113,28,Female,Student,The service was not enough slow.,2024-08-04 22:37:51,Idli,Evening,[-0.5551907928628632],1
114,27,Female,Student,The overall experience was satisfying.,2024-09-05 13:25:20,Caesar Salad,Afternoon,"[0.8659311560205203, -0.6622031649742837, 0.7792275883007096]",6
115,22,Female,Student,The quality of the ingredients was outstanding.,2023-12-06 07:52:33,Fried Rice,Morning,[0.28071056249964244],7
116,21,Female,Student,The overall experience was satisfying.,2023-08-11 18:49:44,Kofta Curry,Morning,"[-0.3541529252160913, -0.27567024140149865]",5
117,29,Female,Student,The food was served at the right temperature.,2024-09-18 21:50:46,Fish Curry,Afternoon,[-0.8023550532962636],8
118,18,Female,Student,I didn’t like the texture of the meal.,2023-07-15 11:25:14,egg,Evening,[-0.700887969233434],6
119,19,Female,Student,The portions were generous.,2023-09-01 13:16:14,bonda,Morning,"[-0.5069207902030399, 0.016007420179071863, -0.1533947261977351, 0.5728351980254922, 0.7994851423299476]",4
120,24,Female,Student,I found the service to be lacking.,2024-07-14 06:35:07,Mushroom Soup,Afternoon,"[0.2924079180698038, -0.001788145985058609, 0.9529400137600905, 0.4111244773278293]",7
121,18,Male,Student,I would recommend this place for its service.,2023-01-03 07:20:52,Rasmalai,Afternoon,[-0.02302298599446706],9
122,23,Male,Student,"Amazing flavors, I loved the taste.",2024-09-15 18:57:23,Pasta,Afternoon,[0.8811972406131481],4
123,18,Female,Student,The staff was attentive and friendly.,2023-04-19 18:32:09,Chole Bhature,Evening,"[-0.7655378067170746, -0.21547988639797588]",6
124,29,Female,Student,I didn’t enjoy the temperature of the food.,2023-06-30 12:08:29,Veg Curry,Afternoon,"[-0.14866941020467905, 0.7221361455341206, 0.7575432048190529, 0.10338554055681493]",1
125,29,Male,Student,The portions were just right.,2023-08-16 22:22:09,Ice Cream,Morning,"[-0.3183508658225833, 0.4376935883271409, 0.4604041515948243, 0.7944998019653882]",4
126,26,Female,Student,I think the meal could use more seasoning.,2023-04-06 21:23:03,Chicken Biryani,Evening,"[0.04872627933770657, 0.7084718418199836, -0.32220322331863693]",3
127,20,Male,Student,The meal was missing a key ingredient.,2023-04-16 23:17:32,Rasmalai,Morning,"[0.5420931042409092, 0.042555813144419696, 0.337384556663177]",4
128,21,Female,Student,I didn’t enjoy the quality.,2023-01-28 13:32:53,Vada,Afternoon,"[-0.6446591217496449, -0.7206569007390973]",2
129,24,Female,Student,I didn’t enjoy the temperature of the food.,2023-07-20 05:33:24,Idli,Evening,"[0.16380202402779553, 0.24462056311312974, -0.013179964609578265]",5
130,24,Male,Student,I think the meal could use more seasoning.,2023-05-13 15:35:09,Vada,Afternoon,"[-0.3113225198942591, -0.07283920965023882, -0.5401824798149379, 0.13662854403078573, 0.5331528425687697]",4
131,26,Female,Student,The overall quality was inconsistent.,2023-11-06 03:02:15,Pasta,Evening,"[0.34610435433846165, -0.17878174732758323, 0.5774386991845921]",7
132,20,Male,Student,I appreciated the variety of healthy options.,2024-03-07 10:51:12,Pasta,Morning,"[-0.4043597539052046, 0.19522659314965662, -0.9235984514833735]",9
133,22,Male,Student,The flavors were unique and interesting.,2023-11-24 12:30:29,Egg Curry,Afternoon,"[0.1753514295817027, -0.6809106465759129]",9
134,20,Male,Student,"Amazing flavors, I loved the taste.",2024-04-02 00:49:37,Paneer Tikka,Evening,"[0.8246238274409874, -0.26598243971400226, -0.5546624057905563]",1
135,29,Female,Student,The staff was attentive and friendly.,2024-08-14 17:19:59,Veg Curry,Afternoon,"[0.47271097170303955, -0.2878658750028338, 0.14734927982352986]",3
136,28,Male,Student,The portions were generous.,2024-07-30 04:28:07,Chicken,Morning,"[0.30603412149050113, 0.12267687572606567, -0.6052750065748469, 0.6128232887971914, -0.4224706988674156]",3
137,23,Female,Student,The overall quality was inconsistent.,2023-01-14 12:51:34,Paneer Butter Masala,Afternoon,"[0.21309363299682338, -0.6785345388718327, 0.7722198530646454, -0.05815329488868981]",2
138,18,Female,Student,I think the meal could use more seasoning.,2023-06-08 15:43:39,Paneer Tikka,Afternoon,"[-0.7832443598742838, 0.4280382119388344, -0.4900067638222778, 0.08255665687987634]",6
139,20,Female,Student,The quality of the ingredients was outstanding.,2023-11-28 07:24:35,Egg Curry,Morning,"[0.17135608212358244, -0.3413939658980871, 0.34059080778342654, 0.8533191933044666, 0.0161772798811759]",4
140,26,Male,Student,The meal was not enough salty.,2024-05-21 16:01:12,Uttapam,Afternoon,"[0.7104811692622588, -0.3282375894009304, 0.7153365684848272, -0.02528715955285099]",8
141,23,Male,Student,I would recommend this place for its service.,2024-08-29 03:58:04,Uttapam,Morning,"[0.7539688666847819, -0.5385895270654866, 0.17055155124646726]",2
142,20,Female,Student,I didn’t enjoy the temperature of the food.,2024-05-13 14:26:47,egg,Morning,"[-0.531421818488726, 0.8877778701521544, -0.32895090219014245, 0.8100590905996048, 0.4458294639008631]",1
143,20,Female,Student,The staff was attentive and friendly.,2024-02-03 22:56:53,Idli,Morning,"[-0.5693172851142294, -0.5017711371141507, -0.1599921274071694, 0.47031590158438963, 0.7480899958773222]",2
144,23,Male,Student,The meal was not enough dry for my liking.,2023-10-29 01:09:33,Vada,Evening,"[0.5502841372809006, -0.40441230647374926, -0.4793620173782207]",7
145,22,Female,Student,I didn’t like the texture of the meal.,2023-10-30 23:44:24,Veg Curry,Afternoon,"[-0.7065920057159836, 0.9167367643709841, -0.27313778300971103, -0.6471183630995623]",3
146,20,Male,Student,The overall quality was inconsistent.,2024-01-27 08:24:49,Chicken,Morning,"[0.6569987638951718, -0.6573246557149561, 0.2226368842677091]",4
147,23,Male,Student,The meal was not enough dry for my liking.,2024-05-12 03:25:41,Mutton Curry,Afternoon,"[-0.8401051613642729, -0.6069529734734005, -0.2166804554034869, 0.4614454033411004]",6
148,28,Female,Student,I would recommend this place for its service.,2023-06-26 22:59:41,Samosa,Afternoon,[0.40445627070422896],9
149,29,Female,Student,I appreciated the variety of healthy options.,2023-01-14 09:29:35,Roti,Evening,[0.6804031504890851],2
150,29,Male,Student,The temperature of the food was perfect.,2024-02-26 16:47:28,Fish Curry,Afternoon,"[0.8057646789952422, 0.6609640591802, -0.5843577134909228]",2
151,26,Female,Student,The overall quality was inconsistent.,2024-02-29 14:53:55,Caesar Salad,Morning,"[0.020377696676439738, 0.9110539200041041]",1
152,28,Female,Student,The flavors were bold and exciting.,2023-02-28 10:13:48,Pav Bhaji,Afternoon,"[0.5091458597775018, -0.7968034343051986, -0.821036162574551, -0.7266602400176518]",2
153,23,Female,Student,The quality of the ingredients was outstanding.,2024-01-01 16:07:23,Chicken Biryani,Morning,"[-0.9967712496174965, -0.7540392238911098, -0.17685367324424162, -0.9043877104080855]",2
154,21,Female,Student,The meal was missing a key ingredient.,2024-09-06 10:16:45,Mutton Curry,Morning,"[0.14171714715844108, -0.4849066422914863, -0.3170836271079782]",3
155,23,Female,Student,I didn’t enjoy the temperature of the food.,2023-10-03 20:52:26,egg,Morning,[0.22907317912397085],7
156,23,Female,Student,I would recommend this place for its service.,2023-10-28 00:10:55,Pasta,Evening,[-0.8254509152230196],3
157,22,Female,Student,The service was exceptional.,2024-07-25 03:06:39,Uttapam,Afternoon,"[-0.2380448590624782, 0.28919182723745673, 0.7222900023243135]",6
158,22,Female,Student,The staff provided excellent service.,2024-09-20 05:56:10,Idli,Afternoon,"[0.6264873752214266, -0.15508230872742845, 0.5297326199972336, -0.8574650513110065, 0.39423913569711466]",9
159,26,Male,Student,The food was served at the right temperature.,2024-08-13 06:06:43,Chicken,Afternoon,"[-0.6955071146737157, -0.9907183181936638, 0.1616897127094572, -0.20406415104756537, -0.417346872456543]",1
160,27,Male,Student,The food was served at the right temperature.,2024-06-23 20:43:23,Egg Curry,Afternoon,[-0.43114711520989313],6
161,20,Female,Student,The food quality was excellent!,2024-06-23 04:39:14,uggani,Evening,"[0.08670507168646058, 0.510669121056853, -0.7848114815441147]",3
162,18,Female,Student,The flavors were unique and interesting.,2024-03-10 04:18:49,Mixed Vegetable,Evening,[0.4810654252026294],1
163,19,Male,Student,The staff was friendly and accommodating.,2023-10-31 02:14:29,Fish Curry,Evening,"[0.434443014937945, 0.8417373258674781, 0.8384359638836065, -0.2572352964958047]",9
164,24,Male,Student,I didn’t like the texture of the meal.,2023-12-17 22:02:50,uggani,Afternoon,"[-0.7517171359495116, -0.9634166944621698, -0.9545696944165223, -0.7075876817318727, 0.07808798844735265]",4
165,28,Female,Student,I didn’t enjoy the quality.,2023-01-30 15:44:59,Roti,Evening,[0.09128072982376456],5
166,24,Female,Student,I didn’t like the texture of the meal.,2023-03-18 11:24:59,Mushroom Soup,Afternoon,[-0.14238540517303644],4
167,20,Female,Student,I loved the variety of options.,2023-01-22 23:04:38,Paneer Tikka,Evening,"[-0.16522804612224218, 0.5135140545793102]",8
168,27,Female,Student,The meal was missing a key ingredient.,2023-08-03 05:16:18,Egg Curry,Evening,"[-0.7881914055155139, -0.6637600965084178, -0.6424402017528039, 0.7506237951595134, -0.6141942210042366]",2
169,25,Female,Student,The meal was missing a key ingredient.,2023-12-25 07:59:29,Veg Curry,Evening,"[0.9814112472974781, 0.024319228979901686, -0.38884371598227907, -0.06764069711220966, 0.8211910918877718]",9
170,27,Male,Student,I appreciated the variety of healthy options.,2023-08-27 05:26:49,Chicken,Afternoon,"[0.6980542222113373, 0.5253243506505114, 0.7853369831296322, -0.7782697490819006]",8
